Id,Habitaciones,banos,Parqueaderos,area_construida,area_privada,Estrato,antigüedad,piso_No,administracion,precio m,transaccion,Precio,Barrio,Ciudad,Tipo de apartamento,Estado,Link,antigüedad_ad,tipo inmueble
1791,5,4,2,180,180,4,30,No definida,No definida,No definida,Arriendo,5000000,la floresta,Bogota,No definida,Excelente,/inmueble/casa-en-arriendo/la-floresta/bogota/8054803,mas de 30 años,Casa
1792,3,4,4,219,0,6,915,1,No definida,No definida,Arriendo,12000000,san patricio,Bogota,Duplex,No definida,/inmueble/apartamento-en-arriendo/san-patricio/bogota/10110991,9 a 15 años,Apartamento
1793,No definida,10,No definida,1600,0,3,30,No definida,No definida,No definida,Arriendo,16900000,las delicias,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/las-delicias/bogota/10106632,mas de 30 años,Bodega
1794,No definida,3,No definida,250,0,5,915,No definida,No definida,No definida,Arriendo,18000000,niza,Bogota,No definida,Excelente,/inmueble/local-en-arriendo/niza/bogota/7866457,9 a 15 años,Local
1795,4,4,2,350,350,4,30,No definida,No definida,No definida,Arriendo,4900000,andes norte,Bogota,No definida,Excelente,/inmueble/casa-en-arriendo/andes-norte/bogota/7906500,mas de 30 años,Casa
1796,2,1,No definida,35,33,3,18,7,No definida,No definida,Arriendo,1450000,cantalejo,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/cantalejo/bogota/10124852,1 a 8 años,Apartamento
1797,2,3,2,97,97,6,1630,No definida,No definida,No definida,Arriendo,3700000,chico,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/chico/bogota/6925806,16 a 30 años,Apartamento
1798,No definida,4,No definida,304,0,3,18,No definida,No definida,No definida,Arriendo,7600000,puente aranda,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/puente-aranda/bogota/10140390,1 a 8 años,Bodega
1799,2,1,1,51,0,4,1630,5,No definida,No definida,Arriendo,1700000,cedritos,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/cedritos/bogota/10087627,16 a 30 años,Apartamento
1800,3,4,No definida,109,0,6,915,No definida,750000,No definida,Arriendo,4500000,usaquen,Bogota,Loft,Excelente,/inmueble/apartamento-en-arriendo/usaquen/bogota/7290573,9 a 15 años,Apartamento
1801,1,2,1,50,50,6,915,3,No definida,No definida,Arriendo,2150000,santa paula,Bogota,Loft,Bueno,/inmueble/apartaestudio-en-arriendo/santa-paula/bogota/8097905,9 a 15 años,Apartaestudio
1802,1,1,No definida,14,0,5,1630,No definida,No definida,No definida,Arriendo,1380000,chico norte,Bogota,No definida,No definida,/inmueble/habitacion-en-arriendo/chico-norte/bogota/10129339,16 a 30 años,Habitacion
1803,3,2,2,89,82,4,1630,3,No definida,No definida,Arriendo,2300000,portales del monte,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/portales-del-monte/bogota/10111278,16 a 30 años,Apartamento
1804,3,2,2,123,123,4,30,1,60000,No definida,Arriendo,3000000,el campin,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/el-campin/bogota/10134532,mas de 30 años,Apartamento
1805,3,4,2,200,200,6,1630,4,No definida,No definida,Arriendo,10000000,los rosales,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/los-rosales/bogota/8116890,16 a 30 años,Apartamento
1806,3,1,No definida,105,105,3,1630,2,No definida,No definida,Arriendo,1200000,gustavo restrepo,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/gustavo-restrepo/bogota/10052293,16 a 30 años,Apartamento
1807,4,5,4,217,176,5,18,No definida,No definida,No definida,Arriendo,6300000,las villas,Bogota,No definida,No definida,/inmueble/casa-en-arriendo/las-villas/bogota/8054411,1 a 8 años,Casa
1808,No definida,No definida,No definida,30,0,5,1,No definida,622000,No definida,Arriendo,3000004,bosque de pinos,Bogota,No definida,No definida,/inmueble/local-en-arriendo/bosque-de-pinos/bogota/10079334,menos de 1 año,Local
1809,3,1,No definida,100,100,3,1630,1,No definida,No definida,Arriendo,1000000,gustavo restrepo,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/gustavo-restrepo/bogota/10052281,16 a 30 años,Apartamento
1810,3,4,2,180,180,6,915,5,No definida,No definida,Arriendo,6500000,chico navarra,Bogota,Duplex,No definida,/inmueble/apartamento-en-arriendo/chico-navarra/bogota/10134289,9 a 15 años,Apartamento
1811,2,1,No definida,50,47,3,18,2,No definida,No definida,Arriendo,920000,super manzana 6,Bogota,Loft,No definida,/inmueble/apartamento-en-arriendo/super-manzana-6/bogota/10135315,1 a 8 años,Apartamento
1812,No definida,1,1,50,50,6,30,No definida,513600,No definida,Arriendo,1972000,santa barbara,Bogota,No definida,Bueno,/inmueble/oficina-en-arriendo/santa-barbara/bogota/7806993,mas de 30 años,Oficina
1813,4,4,4,500,0,6,30,3,No definida,No definida,Arriendo,6400000,salitre greco,Bogota,No definida,No definida,/inmueble/casa-en-arriendo/salitre-greco/bogota/10053222,mas de 30 años,Casa
