,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Transacción,Precio,Barrio,Ciudad,Tipo de apartamento,Estado,Link
230,4.0,2.0,No definida,60.0,60.0,1.0,915.0,3.0,62000.0,3040000.0,Venta,182400000.0,tintala,Bogotá,No definida,No definida,/inmueble/casa-en-venta/tintala/bogota/10143029
231,4.0,2.0,1.0,75.0,58.0,3.0,18.0,2.0,200000.0,4666666.67,Venta,350000000.0,nuevo techo,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/nuevo-techo/bogota/10052031
232,3.0,2.0,1.0,104.0,104.0,6.0,30.0,No definida,721300.0,6250000.0,Venta,650000000.0,chico reservado,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/chico-reservado/bogota/6616650
233,2.0,1.0,No definida,47.0,47.0,3.0,18.0,4.0,90000.0,3936170.21,Venta,185000000.0,castilla,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/castilla/bogota/10133781
234,3.0,5.0,3.0,257.0,0.0,6.0,1630.0,4.0,1549900.0,6809338.52,Venta,1750000000.0,santa paula,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/santa-paula/bogota/8086978
235,3.0,3.0,2.0,161.0,151.0,6.0,1630.0,4.0,850000.0,6832298.14,Venta,1100000000.0,los rosales,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/los-rosales/bogota/6590908
236,4.0,4.0,3.0,180.0,120.0,3.0,30.0,2.0,No definida,2944444.44,Venta,530000000.0,puente aranda,Bogotá,No definida,No definida,/inmueble/casa-en-venta/puente-aranda/bogota/6081636
237,3.0,2.0,No definida,60.0,0.0,2.0,18.0,3.0,97300.0,3666666.67,Venta,220000000.0,tintala,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/tintala/bogota/10090969
238,3.0,3.0,3.0,250.0,240.0,6.0,30.0,1.0,1700000.0,6600000.0,Venta,1650000000.0,los rosales,Bogotá,No definida,Remodelado,/inmueble/apartamento-en-venta/los-rosales/bogota/7857992
239,No definida,3.0,No definida,200.0,0.0,3.0,18.0,2.0,No definida,3700000.0,Venta,740000000.0,santa helena,Bogotá,No definida,No definida,/inmueble/bodega-en-venta/santa-helena/bogota/10118721
240,3.0,2.0,1.0,77.0,77.0,4.0,18.0,10.0,250000.0,4285714.29,Venta,330000000.0,engativa,Bogotá,Loft,No definida,/inmueble/apartamento-en-venta/engativa/bogota/10087032
241,3.0,2.0,1.0,71.0,71.0,4.0,915.0,6.0,255000.0,5140845.07,Venta,365000000.0,mazuren,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/mazuren/bogota/7938855
242,5.0,2.0,1.0,310.0,0.0,3.0,30.0,3.0,No definida,1870967.74,Venta,580000000.0,marsella,Bogotá,No definida,Excelente,/inmueble/casa-en-venta/marsella/bogota/6779373
243,2.0,2.0,2.0,76.0,0.0,5.0,30.0,2.0,370000.0,7171052.63,Venta,545000000.0,bella suiza,Bogotá,Duplex,No definida,/inmueble/apartamento-en-venta/bella-suiza/bogota/10070760
244,3.0,3.0,2.0,234.0,234.0,4.0,30.0,2.0,286000.0,2991452.99,Venta,700000000.0,cedro golf,Bogotá,No definida,No definida,/inmueble/casa-en-venta/cedro-golf/bogota/10100339
245,3.0,4.0,3.0,160.0,0.0,5.0,30.0,2.0,500900.0,6868750.0,Venta,1099000000.0,calleja baja,Bogotá,No definida,Excelente,/inmueble/casa-en-venta/calleja-baja/bogota/7668898
246,3.0,3.0,1.0,94.0,94.0,4.0,1630.0,1.0,330000.0,6595744.68,Venta,620000000.0,ciudad salitre,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/ciudad-salitre/bogota/10127130
